Collection name: Map,number of operations: 10000,unit: ms
Add time, Find time, Remove time
1.107687,0.013027,0.465813
1.437703,0.003158,0.482393
1.449152,0.003158,0.453180
1.211508,0.002764,0.459102
1.350462,0.003158,0.455944
1.333093,0.003158,0.481998
1.355199,0.003553,0.472524
1.191375,0.003158,0.452785
1.181111,0.003158,0.468971
1.322435,0.003158,0.440943
1.129004,0.003158,0.493446
1.152295,0.004342,0.586608
1.612580,0.003158,0.493051
1.184664,0.003158,0.655691
1.369410,0.003947,0.757537
1.515865,0.003158,0.460681
3.093312,0.003158,0.837279
1.483100,0.003158,0.589766
1.256115,0.003158,1.112029
1.514681,0.003158,0.774908
1.513891,0.003553,0.606741
1.378489,0.002763,0.822673
1.295986,0.007106,1.086765
2.312878,0.003158,0.691219
1.439677,0.003553,0.485945
1.389938,0.003553,1.938649
1.265590,0.003158,1.120319
2.376829,0.003159,1.038999
1.248615,0.003158,1.533630
1.282564,0.003158,0.937547
1.299539,0.003158,0.763460
2.277350,0.002763,0.692009
1.432572,0.003158,1.253352
1.693900,0.003553,1.014524
1.423492,0.003553,0.680560
1.624028,0.003158,0.845964
1.659162,0.003158,0.669507
1.579815,0.007106,0.515158
1.529682,0.003553,0.534106
2.053918,0.003947,0.960838
1.544288,0.003948,0.619768
1.472047,0.003552,1.630344
1.450335,0.003158,0.919782
1.267958,0.002763,0.554633
1.489416,0.003947,0.854648
1.344541,0.003158,0.920177
2.214189,0.003158,0.970706
1.438887,0.003158,0.469365
2.088262,0.021317,1.438098
1.649688,0.003158,0.735036
1.394675,0.003158,0.615031
1.456651,0.003158,0.720036
1.311776,0.003947,0.613057
1.550209,0.003158,0.690823
1.512312,0.003947,0.577924
2.123790,0.003159,0.909519
1.479548,0.003553,0.475681
1.655609,0.002764,0.947021
1.466521,0.003158,0.917809
1.982468,0.003159,0.850700
1.522181,0.003158,0.506867
1.370200,0.003158,2.117474
1.557314,0.003158,0.818330
1.579026,0.003158,1.974967
1.376910,0.003948,0.734642
1.406517,0.003158,0.992418
1.460205,0.003158,0.490288
1.506786,0.003158,0.479630
1.283749,0.003158,1.297170
1.227298,0.002763,0.542790
1.687189,0.003158,0.775697
2.389856,0.003158,1.138873
1.167690,0.003158,0.459102
1.556919,0.003158,0.930441
1.615344,0.003553,0.493445
1.367831,0.003158,1.781536
1.421124,0.003158,0.904782
1.245852,0.003158,0.462655
1.747192,0.003158,0.851884
1.356384,0.003158,0.609109
1.807985,0.003948,1.043342
1.347304,0.003948,0.753590
1.308617,0.003158,1.546262
1.614160,0.003553,0.636742
1.407702,0.003948,0.976628
1.704559,0.003158,0.877149
1.466520,0.003158,0.515157
2.460123,0.003158,0.944652
1.387175,0.002764,0.864912
1.983257,0.003158,1.018472
1.313355,0.003158,0.511999
1.311381,0.003158,0.972286
1.468889,0.002764,0.690034
1.310197,0.003552,0.510815
1.284538,0.003158,0.849911
1.371779,0.003947,0.601609
1.997468,0.003553,0.603582
1.440072,0.003553,0.529369
1.115187,0.002763,0.624110
1.396648,0.003158,0.807672
1.519023,0.003158,0.725957
1.675346,0.002764,0.693982
1.372963,0.003553,0.521079
1.271511,0.003158,1.387964
1.547051,0.003159,0.884650
1.434940,0.003948,1.486653
1.565605,0.003158,0.718457
1.228482,0.003553,1.776404
1.330724,0.003158,0.987286
1.381648,0.003553,1.632318
1.316907,0.004737,0.623321
1.110055,0.003158,0.656085
1.481521,0.003158,0.763064
1.371778,0.003552,0.655691
1.340988,0.003553,0.623321
1.179928,0.003158,0.540816
1.923649,0.004343,0.932020
1.224929,0.003158,0.641874
1.107686,0.003158,1.061500
1.402175,0.003552,0.549106
1.373358,0.003158,0.954521
1.458231,0.003158,0.564501
1.423492,0.003553,0.722010
1.110056,0.002763,2.592366
1.590869,0.003158,0.716878
1.200060,0.003158,0.647401
1.422307,0.003553,0.724379
1.478758,0.003158,0.888597
1.226509,0.003158,1.067422
1.299538,0.003552,0.822672
2.164450,0.003158,0.654901
1.352436,0.003947,0.719247
1.352041,0.003553,0.941889
1.251773,0.003552,0.480024
1.213876,0.003158,1.219798
1.415203,0.003158,1.026367
1.237167,0.003158,0.498183
1.262431,0.004343,1.087949
1.431782,0.003553,0.740169
1.515076,0.003158,1.349673
1.500469,0.003552,0.517131
1.515076,0.003947,1.192559
1.462178,0.003158,0.978207
1.466915,0.005526,2.558417
1.299933,0.003158,0.688850
1.394280,0.003552,1.169664
1.393096,0.003553,0.793066
1.477179,0.003947,1.112424
1.297959,0.003158,0.960442
1.391912,0.003158,0.698719
1.500075,0.003158,0.958074
1.338224,0.003552,0.551869
1.407307,0.003158,0.863333
1.273090,0.003553,0.666744
1.404149,0.003158,0.682929
1.387569,0.003553,0.552660
2.428542,0.003158,1.163742
1.384017,0.003553,0.644243
1.558498,0.003553,1.791011
1.288090,0.003158,0.768986
1.210324,0.004737,1.467705
1.223350,0.003158,0.508446
1.418755,0.071451,0.773723
1.211113,0.003159,0.515947
1.135320,0.003158,0.727142
1.379674,0.003158,0.727931
1.315328,0.003553,2.411962
1.251378,0.003158,0.948600
1.225719,0.003158,0.510420
1.445204,0.003158,1.644161
1.199270,0.003158,1.264800
1.701795,0.003553,0.951758
1.371384,0.003158,0.497393
1.603896,0.004737,0.879122
1.260063,0.003158,0.820699
2.712372,0.003552,0.968337
1.329540,0.003552,0.522658
1.567578,0.003948,1.132557
1.247036,0.003158,0.811620
1.338619,0.003158,0.919783
1.374542,0.003553,0.501341
1.381648,0.003158,1.153479
1.513891,0.003158,0.969127
1.256510,0.003158,0.678191
1.275458,0.003158,0.724379
1.142425,0.003159,0.459497
2.127738,0.003553,1.235588
1.519418,0.003158,0.817935
1.242693,0.003553,0.499367
1.367832,0.003158,0.850700
1.189007,0.003158,0.485155
1.355988,0.003947,1.366252
1.254536,0.003158,0.984128
1.472047,0.003553,0.558186
1.257694,0.003947,0.765039
1.306645,0.003158,0.999524
2.400909,0.003158,1.351252
1.278222,0.003553,0.504499
1.285327,0.003553,1.013735
1.450730,0.003158,0.693193
1.365068,0.003158,1.413624
1.363884,0.003158,0.644243
1.271905,0.003158,0.888202
1.443625,0.003947,0.784381
1.114792,0.003158,0.471340
2.596709,0.003158,1.008603
1.204008,0.003553,0.698719
1.459020,0.003158,0.811224
1.331119,0.003553,0.516342
3.112656,0.003158,1.064263
1.282169,0.003553,0.547132
1.404544,0.003947,0.846358
