Collection name: Set,number of operations: 10000,unit: ms
Add time, Find time, Remove time
0.915836,0.010264,0.759117
1.198876,0.010658,0.461470
1.547051,0.037897,1.324408
1.430203,0.011053,0.681350
1.607054,0.018553,1.036235
1.575473,0.011054,0.485945
1.005050,0.023291,0.535684
3.186475,0.011053,0.661217
0.900440,0.010264,0.485550
1.785089,0.024475,0.488314
1.535208,0.051318,0.542000
1.592842,0.023685,0.733457
0.881887,0.010659,0.450022
0.893334,0.011053,0.753590
0.978996,0.010659,0.453180
1.737719,0.010263,0.546737
0.950969,0.023685,1.121503
2.909356,0.018159,1.230457
1.612580,0.019738,0.671086
1.739692,0.044213,0.955311
0.957679,0.010658,0.485550
0.907546,0.019738,0.953337
1.980098,0.021712,0.998734
1.643766,0.020922,0.853858
1.707716,0.018949,0.856621
1.611396,0.010658,0.579107
1.703770,0.026054,0.728721
1.622054,0.023685,1.057948
1.545077,0.023685,0.723589
1.567183,0.023686,0.737405
1.198481,0.023685,1.154662
1.111239,0.023290,0.781224
0.927678,0.011053,1.100186
1.586921,0.018159,0.933205
1.653635,0.016185,0.821488
1.528498,0.055661,0.575160
0.932414,0.010658,0.899255
1.229667,0.011843,0.555423
1.576657,0.021711,0.740958
1.641792,0.010659,0.776486
2.190504,0.023291,0.970706
1.235193,0.022501,0.914256
1.431782,0.011054,0.500156
1.834434,0.022106,1.269537
1.106503,0.023686,0.785565
1.715612,0.011053,0.692403
1.815485,0.010658,1.868383
1.657583,0.023685,0.684903
1.886936,0.020527,0.950574
1.014919,0.049740,0.841227
1.547051,0.010659,0.466997
0.896887,0.010659,0.474498
1.189796,0.010658,0.561343
0.916230,0.010659,0.532132
0.876360,0.010658,0.534895
0.877149,0.010658,0.510421
0.923335,0.010659,0.446469
0.960442,0.010264,0.628847
0.890571,0.010264,0.453576
0.877544,0.010263,0.449233
0.879517,0.010264,0.452391
0.963601,0.010658,0.461075
0.888992,0.010658,0.447260
0.879517,0.010658,0.452391
2.034575,0.023291,0.547923
0.884254,0.011448,0.447654
0.875965,0.023291,0.522263
1.522181,0.011053,0.464629
0.969917,0.010264,0.588582
0.919783,0.010659,0.467787
0.880307,0.010658,0.454365
0.880702,0.010263,0.444101
1.357962,0.011053,0.632795
0.892545,0.010658,0.460286
0.877544,0.010658,0.454365
0.923335,0.010658,0.452391
1.316513,0.023685,1.476784
1.345330,0.060003,0.565686
0.900045,0.012632,0.450812
0.880702,0.010659,0.447654
2.298668,0.010659,0.551870
0.891755,0.010659,0.459497
0.877149,0.010659,0.455154
0.877939,0.010658,0.454364
1.658767,0.010659,0.507657
0.920178,0.010659,0.454365
0.962022,0.023686,0.845173
1.560078,0.023685,0.922941
2.046418,0.039081,0.710957
1.178743,0.019343,0.521868
2.415910,0.021712,1.425071
1.808774,0.023685,0.763854
1.831275,0.010659,0.508841
0.927283,0.010658,0.732273
