Collection name: Vector,number of operations: 10000,unit: ms
Add time, Find time, Remove time
0.139349,39.597238,29.256591
0.203299,39.941071,29.530552
0.200536,39.649741,29.300803
0.203695,41.522071,29.671480
0.202511,49.004286,29.271987
0.202510,40.103710,29.243169
0.237644,48.913887,29.707008
0.225011,39.482364,29.244353
0.201326,39.929623,30.222560
0.206852,39.189059,29.769774
0.220668,39.738166,29.940704
0.206458,40.417937,29.318172
0.217510,40.227270,30.876277
0.270803,49.369830,29.605160
0.224221,41.723002,29.708587
0.257381,39.517892,37.066454
0.285015,39.583421,29.630425
0.323701,39.316960,29.504103
0.216722,53.733469,32.991382
0.270409,79.975699,46.252043
0.223037,41.724581,29.479233
0.255407,46.056244,29.238432
0.279882,39.306302,29.452390
0.217905,41.254031,29.347779
0.225406,39.489864,29.723982
0.260145,42.583965,29.416861
0.258960,51.690998,29.409361
0.216721,39.354462,29.616214
0.255802,39.899227,33.794711
0.271197,46.972868,29.630820
0.227380,39.315777,29.315804
0.227774,48.985338,30.022419
0.240012,39.435387,29.572790
0.258566,40.950858,29.400677
0.255803,46.474292,34.498167
0.223037,39.348146,29.933204
0.228959,55.419080,29.653716
0.324490,40.303457,30.137292
0.213563,39.388412,29.846357
0.223037,39.500917,30.163346
0.216722,50.240269,30.010970
0.227774,40.415173,31.002599
0.216326,39.668689,29.423178
0.284620,39.210377,29.345411
0.230933,40.629526,32.248450
0.225406,42.627783,29.578317
0.217116,40.788613,32.603336
0.225011,40.441622,30.574683
0.214747,43.178864,30.967466
0.251460,40.882565,31.311298
0.271197,39.497364,29.357648
0.215932,44.855789,29.637926
0.228564,55.551718,32.540176
0.223038,39.581448,37.004477
0.227380,41.426934,33.723260
0.217116,39.292881,44.712099
0.251065,40.879013,30.318486
0.286593,41.893537,30.526128
0.271197,44.326816,30.735743
0.217116,39.290117,58.230930
0.253039,39.611054,33.188760
0.228564,39.611054,29.573185
0.225801,40.477150,29.441732
0.256592,48.311094,29.478443
0.251460,40.941779,29.272775
0.269224,39.614212,30.821011
0.254618,45.410817,29.645031
0.222643,39.341041,29.403834
0.214353,39.613423,31.375249
0.254618,39.350515,29.468180
0.228959,40.247007,29.975443
0.238038,41.167579,30.648107
0.256987,39.659609,31.617235
0.219484,39.373411,41.814980
0.255802,48.680585,29.530947
0.229353,48.876779,29.280276
0.232907,46.722199,29.320541
0.263697,45.138830,30.421122
0.255013,50.990701,29.494234
0.234090,39.714480,29.383308
0.258171,40.325168,29.257775
0.229354,40.962700,29.373439
0.256987,39.342225,29.334752
0.222643,57.460366,40.582945
0.224221,39.425518,29.386465
0.221853,39.242351,29.311461
0.275540,39.282222,29.334753
0.267250,41.465620,29.615029
0.332385,41.351536,29.609898
0.229749,41.278901,29.326462
0.259749,50.350011,30.113607
0.263303,39.358410,29.653321
0.219090,42.632521,30.698241
0.273171,39.459468,30.842722
0.214353,40.856116,29.352911
0.270803,39.710928,42.558306
0.280672,41.309692,31.363407
0.275145,43.372689,29.707403
0.248302,41.856430,29.570422
0.217116,39.985284,29.349358
0.235669,39.946993,29.508445
0.232511,39.916990,29.235274
0.244354,39.292486,29.789118
0.222642,39.446835,29.422389
0.217511,39.513945,29.951757
0.238433,41.442330,45.272652
0.258566,41.320350,29.712534
0.225406,39.271564,29.427125
0.232117,39.320908,30.971413
0.226195,46.696934,30.033867
0.185536,44.781575,44.039433
0.159087,43.153599,29.475681
0.189483,46.666537,31.668553
0.156323,42.753711,39.833697
0.145665,41.493648,30.823379
0.219880,40.191741,39.948176
0.187115,40.153845,42.659759
0.127112,53.205284,32.121338
0.193431,59.436517,49.725901
0.180799,75.267832,38.288226
0.236459,62.214024,60.029047
0.340675,61.242528,43.007934
0.191062,64.194122,38.608373
0.160271,62.127967,51.259925
0.251460,44.718414,35.327551
0.188694,53.629648,32.131997
0.178430,45.632671,30.347698
0.276329,41.233109,29.726351
0.159482,42.139865,29.636741
